peg_x,peg_y,peg_z,peg_qw,peg_qx,peg_qy,peg_qz,q_init_ur_shoulder_pan_joint,q_init_ur_shoulder_lift_joint,q_init_ur_elbow_joint,q_init_ur_wrist_1_joint,q_init_ur_wrist_2_joint,q_init_ur_wrist_3_joint,q_reach_ur_shoulder_pan_joint,q_reach_ur_shoulder_lift_joint,q_reach_ur_elbow_joint,q_reach_ur_wrist_1_joint,q_reach_ur_wrist_2_joint,q_reach_ur_wrist_3_joint,peg_site_x,peg_site_y,peg_site_z,ee_init_x,ee_init_y,ee_init_z
-0.55563045,-0.22612312,0.6888074,-0.6098368,0.027164886,-0.27634937,0.7422885,-2.5207524,-0.06204923,-1.4610716,6.1341352,-2.1557298,-5.5037966,-2.4595022,-0.29900724,-1.1909665,6.1289697,-2.1244743,-5.4288826,-0.55563045,-0.22612312,0.6888074,-0.5933689,-0.18841016,0.60422885
0.017129604,0.43972263,1.2506884,0.6094082,0.22301136,-0.7349612,0.19677281,6.201156,-3.110131,1.6986232,4.3130813,5.392391,1.706068,6.2829804,-3.1566238,1.5204881,4.5662446,5.2650733,1.6720762,0.017129604,0.43972263,1.2506884,0.09793137,0.4958277,1.2686688
0.07412866,0.26777157,1.2208701,-0.447295,0.24353594,0.74520415,-0.43045112,2.5809538,-1.8024479,1.9654064,-2.870093,2.5346103,-5.4231915,2.8190591,-1.5671586,1.8023804,-3.0633178,2.3448029,-5.5778217,0.07412866,0.26777157,1.2208701,0.16175994,0.3101399,1.2437979
0.48921454,-0.05156144,1.0518272,0.64510864,0.68343586,-0.33200264,0.08077449,-1.2465415,-1.0974627,1.5268524,2.9113178,0.88091815,-3.836854,-1.3214264,-0.91071963,1.2586845,2.9805,0.9779398,-3.8208208,0.48921454,-0.05156144,1.0518272,0.52100927,0.041980103,1.0672892
-0.09878674,0.311737,1.0980612,-0.74114,0.06448065,-0.65389884,0.1377317,4.0326905,3.170122,1.4332328,-1.2269615,-2.5476587,5.147457,3.8879938,3.2242033,1.1584512,-1.0682042,-2.3903873,5.092282,-0.09878674,0.311737,1.0980612,-0.19748907,0.32019168,1.0844095
0.2046393,-0.89301664,0.5240492,-0.66994727,0.41414115,0.3346922,-0.5173383,-2.009989,-0.59787875,0.93574166,4.7819843,-0.4843836,-2.0078382,-2.1193657,-0.66550696,0.90501535,5.0055394,-0.5274548,-2.1581247,0.2046393,-0.89301664,0.5240492,0.29233474,-0.91387737,0.4807556
0.015021372,-0.2776296,0.15131633,-0.2176974,0.53196985,0.10008196,0.81215733,3.2316668,3.1860375,-1.5661162,-4.2647915,5.018559,-4.9554358,3.3206656,3.1979146,-1.376957,-4.517413,4.9575186,-4.9031153,0.015021372,-0.2776296,0.15131633,-0.06702976,-0.31704777,0.109918
-0.53445494,0.26957625,0.7331728,0.577303,0.38020363,0.6875969,0.22220927,1.1805779,-1.4024111,2.5692365,-0.48836884,-0.31460088,0.04545461,0.7282462,-1.2103556,2.6704798,-1.0687871,-0.7626353,0.40786996,-0.53445494,0.26957625,0.7331728,-0.63074225,0.28291672,0.7566417
0.34907195,0.4738706,0.17700787,-0.90418696,0.072693974,0.4171118,-0.056385122,1.3632325,-0.48049688,2.0213945,3.0223675,-2.4525354,-3.5689197,1.5018737,-0.7306637,2.0571625,3.4235756,-2.4334838,-3.3211515,0.34907195,0.4738706,0.17700787,0.42532116,0.4654286,0.112861216
0.68332297,-0.21289892,-0.13817656,0.6336597,-0.0392771,-0.52950805,0.56263125,2.4068208,-3.8068607,-0.525286,6.2630935,-3.6164744,5.8854723,2.2620718,-3.5308433,-0.9596419,6.136481,-3.6077023,5.567599,0.68332297,-0.21289892,-0.13817656,0.75484824,-0.15829304,-0.18179227
